,accx,accy,accz,angx,angy,angz,magx,magy,magz,latitude,longitude,roll,pitch,yaw,accx_glo,accy_glo,accz_glo,angx_glo
accx,1.0,-0.5102191256579554,0.3468561805639898,0.01631177824791585,-0.06421031535038162,-0.020064079561980454,0.06804119778719546,-0.10809839511334897,0.645512050362153,-0.07199679731301437,0.03951527683879129,-0.4836864072064459,-0.9082400495440746,0.10142914971849884,-0.21667394168958862,0.03754154990774728,0.09579227465397468,0.01761812558239966
accy,-0.5102191256579554,1.0,-0.4662028340559941,0.05964184499237185,0.04948389047959007,0.24767641490253647,-0.054761550760241244,0.027684627748265887,-0.5176128863569995,0.1590700927454947,0.06334840216177388,0.4341486597596678,0.5531982314913796,-0.06403444259270902,0.08749713832935187,-0.031577883233883206,-0.7591957049044019,0.058512472364697504
accz,0.3468561805639898,-0.4662028340559941,1.0,-0.0646876968701089,-0.127819604365837,-0.04142528722192164,0.02536897511673404,-0.1963879673064487,0.2683883178047738,-0.037143598127663616,0.003336761395807562,-0.5009999074508548,-0.3204473103417138,0.05853637429642238,-0.006281935466138994,0.11954172121676232,0.053582974888008714,-0.06061606419115499
angx,0.01631177824791585,0.05964184499237185,-0.0646876968701089,1.0,0.147101866093191,-0.04872226309529318,0.004664483620965114,0.00019508198443656582,0.004633538405759279,-0.0011465985071397256,0.00019458577402841923,0.09748046173046263,-0.018062647815973183,0.04276243148770789,-0.005403054891982192,0.04291511655438785,-0.023992177907710147,0.9990815671730456
angy,-0.06421031535038162,0.04948389047959007,-0.127819604365837,0.147101866093191,1.0,-0.179016405364788,-0.004632191830812977,0.0016828100498118056,0.006330839618231207,-0.002266213313318329,-0.002468189490175376,0.047569371281542705,0.0461365365746824,-0.03011289087385656,-0.044745000278569695,-0.028376600953854518,-0.01456310162852675,0.13592595158841
angz,-0.020064079561980454,0.24767641490253647,-0.04142528722192164,-0.04872226309529318,-0.179016405364788,1.0,0.005435355725548435,0.006331815391147839,0.002285454745164431,0.0012052249800483489,0.0016105325336673955,0.012768253883755779,0.02383548550552642,0.021085956516797538,-0.031091748490136947,0.005466924766936623,-0.29657892635884825,-0.04522935357073155
magx,0.06804119778719546,-0.054761550760241244,0.02536897511673404,0.004664483620965114,-0.004632191830812977,0.005435355725548435,1.0,-0.11880329002411168,0.04099385638960185,0.12551640213734408,0.08183660184289836,-0.06386855056607388,-0.08592651640252108,-0.23053936565214914,0.14387232211748066,0.5933575702205042,-0.016182495137563355,0.00397375966968744
magy,-0.10809839511334897,0.027684627748265887,-0.1963879673064487,0.00019508198443656582,0.0016828100498118056,0.006331815391147839,-0.11880329002411168,1.0,0.15856068517790023,-0.43224845634288117,-0.42492717065247937,0.13478151234096078,0.13159970386619507,0.48520847056644223,-0.4745142696301998,-0.13025181144365816,0.10801562118312331,-0.0005202918636258405
magz,0.645512050362153,-0.5176128863569995,0.2683883178047738,0.004633538405759279,0.006330839618231207,0.002285454745164431,0.04099385638960185,0.15856068517790023,1.0,-0.48086881116979857,-0.3289278362155652,-0.597327954743752,-0.7571434480059841,0.35488351748977265,-0.4150560017746141,0.016154500206579034,0.04269419280246742,0.004957136058686461
latitude,-0.07199679731301437,0.1590700927454947,-0.037143598127663616,-0.0011465985071397256,-0.002266213313318329,0.0012052249800483489,0.12551640213734408,-0.43224845634288117,-0.48086881116979857,1.0,0.8944529135300626,0.14772667217961835,0.12071111932274123,-0.5177707372438991,0.40478263668779135,0.10113686285057503,-0.03914992731638189,-0.0021005427713015807
longitude,0.03951527683879129,0.06334840216177388,0.003336761395807562,0.00019458577402841923,-0.002468189490175376,0.0016105325336673955,0.08183660184289836,-0.42492717065247937,-0.3289278362155652,0.8944529135300626,1.0,0.043286863170415586,-0.01296435971692966,-0.49712214545842176,0.35979340809499905,0.07502845519628508,-0.032253789846347455,-0.0005061618041768089
roll,-0.4836864072064459,0.4341486597596678,-0.5009999074508548,0.09748046173046263,0.047569371281542705,0.012768253883755779,-0.06386855056607388,0.13478151234096078,-0.597327954743752,0.14772667217961835,0.043286863170415586,1.0,0.5798238193240497,0.07502671633843654,0.11549706812819192,-0.03740367830845368,0.04046304207846083,0.09377421321406262
pitch,-0.9082400495440746,0.5531982314913796,-0.3204473103417138,-0.018062647815973183,0.0461365365746824,0.02383548550552642,-0.08592651640252108,0.13159970386619507,-0.7571434480059841,0.12071111932274123,-0.01296435971692966,0.5798238193240497,1.0,-0.07673394461401412,0.16705897126719976,-0.02156697048196726,-0.10811177878790802,-0.019692963396978475
yaw,0.10142914971849884,-0.06403444259270902,0.05853637429642238,0.04276243148770789,-0.03011289087385656,0.021085956516797538,-0.23053936565214914,0.48520847056644223,0.35488351748977265,-0.5177707372438991,-0.49712214545842176,0.07502671633843654,-0.07673394461401412,1.0,-0.48782684112299957,-0.12792757035016092,0.04121690205391311,0.0424402878583842
accx_glo,-0.21667394168958862,0.08749713832935187,-0.006281935466138994,-0.005403054891982192,-0.044745000278569695,-0.031091748490136947,0.14387232211748066,-0.4745142696301998,-0.4150560017746141,0.40478263668779135,0.35979340809499905,0.11549706812819192,0.16705897126719976,-0.48782684112299957,1.0,0.18936654564653108,-0.015851848076770765,-0.0024584157643423496
accy_glo,0.03754154990774728,-0.031577883233883206,0.11954172121676232,0.04291511655438785,-0.028376600953854518,0.005466924766936623,0.5933575702205042,-0.13025181144365816,0.016154500206579034,0.10113686285057503,0.07502845519628508,-0.03740367830845368,-0.02156697048196726,-0.12792757035016092,0.18936654564653108,1.0,-0.04278982913101115,0.045263271597588625
accz_glo,0.09579227465397468,-0.7591957049044019,0.053582974888008714,-0.023992177907710147,-0.01456310162852675,-0.29657892635884825,-0.016182495137563355,0.10801562118312331,0.04269419280246742,-0.03914992731638189,-0.032253789846347455,0.04046304207846083,-0.10811177878790802,0.04121690205391311,-0.015851848076770765,-0.04278982913101115,1.0,-0.024319628744072893
angx_glo,0.01761812558239966,0.058512472364697504,-0.06061606419115499,0.9990815671730456,0.13592595158841,-0.04522935357073155,0.00397375966968744,-0.0005202918636258405,0.004957136058686461,-0.0021005427713015807,-0.0005061618041768089,0.09377421321406262,-0.019692963396978475,0.0424402878583842,-0.0024584157643423496,0.045263271597588625,-0.024319628744072893,1.0
