,x(m/s2),y(m/s2),z(m/s2),x(rad/s),y(rad/s),z(rad/s),x(μT),y(μT),z(μT)
x(m/s2),1.0,-0.17157744722294407,0.03461967657100602,-0.04633074933764019,-0.005975727067790113,0.011118184321447174,-0.041888974958768886,-0.040325005492387746,0.056405188447049
y(m/s2),-0.17157744722294407,1.0,0.37996059754962036,0.3387913837984391,0.05919346357370538,0.10427243596771008,0.04522066455535124,-0.021408817006439356,-0.089811973487731
z(m/s2),0.03461967657100602,0.37996059754962036,1.0,0.3725730757597918,-0.019841209545064648,0.12617266288548992,0.00882063065064248,0.01423953820939748,0.0421366480020388
x(rad/s),-0.04633074933764019,0.3387913837984391,0.3725730757597918,1.0,-0.13521374644965659,0.20471858016457034,0.013997731019465968,0.0023585247162272527,-0.006013929449688023
y(rad/s),-0.005975727067790113,0.05919346357370538,-0.019841209545064648,-0.13521374644965659,1.0,-0.17499725203302585,0.058835778449622685,0.044263034343815254,-0.027931500645185254
z(rad/s),0.011118184321447174,0.10427243596771008,0.12617266288548992,0.20471858016457034,-0.17499725203302585,1.0,0.005447681612160851,-0.014963480871833192,0.00663810625559879
x(μT),-0.041888974958768886,0.04522066455535124,0.00882063065064248,0.013997731019465968,0.058835778449622685,0.005447681612160851,1.0,0.7807458989067488,-0.34539908889526477
y(μT),-0.040325005492387746,-0.021408817006439356,0.01423953820939748,0.0023585247162272527,0.044263034343815254,-0.014963480871833192,0.7807458989067488,1.0,-0.2369659371028151
z(μT),0.056405188447049,-0.089811973487731,0.0421366480020388,-0.006013929449688023,-0.027931500645185254,0.00663810625559879,-0.34539908889526477,-0.2369659371028151,1.0
